Player,Offense,Defense(*),Total
Lou Williams,-0.7 (61),1.0 (40),-1.7 (51)
Josh Giddey,-2.2 (33),-0.5 (77),-1.7 (50)
Josh Richardson,-0.1 (72),1.6 (24),-1.7 (50)
Rodney McGruder,-1.1 (55),0.6 (50),-1.7 (50)
Anthony Gill,-1.3 (50),0.4 (55),-1.7 (50)
Kyle Kuzma,-1.4 (50),0.4 (57),-1.8 (50)
Trevor Ariza,-2.4 (27),-0.6 (78),-1.8 (50)
Luke Kornet,-1.9 (37),-0.1 (67),-1.8 (49)
Jevon Carter,-1.3 (52),0.5 (55),-1.8 (49)
Juan Toscano-Anderson,-2.1 (35),-0.3 (74),-1.8 (49)
Timothe Luwawu-Cabarrot,-0.7 (61),1.1 (37),-1.8 (49)
Saben Lee,-1.0 (56),0.8 (47),-1.8 (49)
Dylan Windler,-1.8 (40),-0.0 (65),-1.8 (49)
Frank Jackson,-0.7 (62),1.2 (35),-1.9 (48)
Kevin Porter Jr.,-0.5 (67),1.4 (30),-1.9 (48)
Will Barton,-1.3 (51),0.6 (51),-1.9 (48)
Omer Yurtseven,-1.2 (53),0.7 (49),-1.9 (48)
Malachi Flynn,-1.4 (49),0.5 (53),-1.9 (48)
Zeke Nnaji,-0.7 (61),1.2 (34),-1.9 (48)
Serge Ibaka,-1.6 (44),0.3 (59),-1.9 (47)
Chuma Okeke,-2.8 (21),-0.8 (81),-2.0 (47)
Carmelo Anthony,-0.6 (65),1.4 (30),-2.0 (47)
Trey Murphy III,-0.8 (60),1.2 (35),-2.0 (47)
Marcus Morris Sr.,0.2 (77),2.2 (4),-2.0 (47)
Alex Len,-2.7 (23),-0.7 (80),-2.0 (47)
Jarrett Culver,-1.6 (44),0.4 (55),-2.0 (46)
Gary Clark,-1.2 (52),0.8 (46),-2.0 (46)
Wes Iwundu,-2.0 (35),0.0 (65),-2.0 (46)
Zach Collins,-1.3 (50),0.7 (48),-2.0 (46)
Dwight Howard,-1.0 (57),1.1 (39),-2.1 (46)
Ish Smith,-1.6 (46),0.5 (54),-2.1 (46)
Miye Oni,-1.7 (43),0.4 (56),-2.1 (45)
Davion Mitchell,-2.4 (28),-0.3 (72),-2.1 (45)
Trey Burke,-1.0 (56),1.1 (37),-2.1 (45)
Boban Marjanovi?,-1.8 (40),0.3 (59),-2.1 (45)
Mychal Mulder,-1.1 (54),1.0 (40),-2.1 (45)
Rajon Rondo,-1.9 (38),0.3 (61),-2.2 (45)
Garrett Temple,-2.1 (34),0.1 (64),-2.2 (44)
Norman Powell,-0.2 (70),2.0 (7),-2.2 (44)
Killian Tillie,-2.0 (36),0.2 (62),-2.2 (44)
Aaron Wiggins,-0.9 (58),1.3 (31),-2.2 (44)
Yuta Watanabe,-1.7 (41),0.5 (53),-2.2 (44)
Thanasis Antetokounmpo,-1.9 (38),0.4 (58),-2.3 (44)
Svi Mykhailiuk,-1.2 (53),1.1 (38),-2.3 (43)
Taurean Prince,-1.3 (51),1.0 (41),-2.3 (43)
Armoni Brooks,-1.2 (53),1.1 (38),-2.3 (43)
Day'Ron Sharpe,-1.8 (40),0.5 (53),-2.3 (43)
Rodney Hood,-2.0 (36),0.3 (59),-2.3 (43)
Thomas Bryant,-1.2 (52),1.1 (36),-2.3 (43)
Miles McBride,-2.2 (32),0.1 (64),-2.3 (42)
Dennis Smith Jr.,-2.1 (34),0.2 (62),-2.3 (42)
Nathan Knight,-2.2 (32),0.1 (63),-2.3 (42)
Quentin Grimes,-2.5 (27),-0.1 (69),-2.4 (42)
Aleksej Pokusevski,-2.4 (28),-0.0 (66),-2.4 (42)
Jeremiah Robinson-Earl,-2.1 (34),0.3 (60),-2.4 (42)
Willy Hernangomez,0.4 (80),2.8 (0),-2.4 (41)
Wenyen Gabriel,-1.0 (56),1.4 (28),-2.4 (41)
Mamadi Diakite,-2.8 (20),-0.4 (74),-2.4 (41)
Isaiah Roby,-1.1 (55),1.3 (32),-2.4 (41)
Cole Anthony,-0.8 (60),1.7 (20),-2.5 (41)
Doug McDermott,0.1 (76),2.6 (1),-2.5 (41)
Bryn Forbes,-0.8 (60),1.7 (19),-2.5 (40)
Jock Landale,-1.7 (43),0.8 (47),-2.5 (40)
Maurice Harkless,-2.0 (37),0.5 (54),-2.5 (40)
Cody Zeller,-1.5 (47),1.0 (41),-2.5 (40)
Elfrid Payton,-2.3 (30),0.2 (62),-2.5 (40)
Davon Reed,-1.6 (44),0.9 (43),-2.5 (40)
James Johnson,-2.3 (31),0.3 (61),-2.6 (40)
Dalano Banton,-2.3 (31),0.3 (61),-2.6 (39)
Stanley Johnson,-0.7 (60),1.9 (8),-2.6 (39)
Olivier Sarr,-2.3 (29),0.3 (59),-2.6 (39)
Joshua Primo,-1.5 (47),1.1 (38),-2.6 (39)
Brandon Boston Jr.,-2.8 (21),-0.1 (67),-2.7 (39)
Ayo Dosunmu,-1.5 (48),1.2 (35),-2.7 (39)
Cam Reddish,-1.7 (43),1.0 (41),-2.7 (38)
KZ Okpala,-2.2 (33),0.5 (53),-2.7 (38)
Duane Washington Jr.,-0.7 (61),2.0 (7),-2.7 (38)
Jonathan Kuminga,-1.7 (42),1.0 (40),-2.7 (38)
Ish Wainright,-2.6 (25),0.1 (63),-2.7 (38)
DaQuan Jeffries,-1.8 (39),0.9 (43),-2.7 (38)
Moses Moody,-1.8 (41),1.0 (42),-2.8 (37)
Trey Lyles,-1.3 (51),1.5 (28),-2.8 (37)
Cedi Osman,-1.5 (48),1.3 (32),-2.8 (37)
KJ Martin,-0.7 (62),2.1 (6),-2.8 (37)
Tre Mann,-1.8 (40),1.0 (41),-2.8 (37)
Lamar Stevens,-1.7 (42),1.1 (37),-2.8 (37)
Oshae Brissett,0.2 (77),3.0 (0),-2.8 (36)
Tony Snell,-1.8 (40),1.0 (39),-2.8 (36)
Brandon Goodwin,-1.7 (41),1.1 (36),-2.8 (36)
Tyler Johnson,-1.7 (41),1.1 (36),-2.8 (36)
Collin Sexton,-0.6 (65),2.2 (5),-2.8 (36)
Juancho Hernangomez,-0.6 (64),2.2 (4),-2.8 (36)
Ryan Arcidiacono,-2.6 (24),0.2 (61),-2.8 (35)
Jordan Nwora,-1.5 (48),1.4 (31),-2.9 (35)
Josh Jackson,-2.4 (29),0.5 (54),-2.9 (35)
D.J. Augustin,-1.0 (57),1.9 (10),-2.9 (35)
Jake Layman,-2.4 (28),0.5 (54),-2.9 (35)
Lonnie Walker IV,-1.0 (57),1.9 (9),-2.9 (35)
Abdel Nader,-3.0 (17),-0.1 (68),-2.9 (34)
Jabari Parker,-2.0 (36),0.9 (44),-2.9 (34)
Moses Brown,-1.5 (46),1.4 (29),-2.9 (34)
Shaquille Harrison,-2.8 (20),0.1 (63),-2.9 (34)
Alperen Sengun,-1.1 (55),1.8 (14),-2.9 (34)
Langston Galloway,-1.8 (39),1.1 (37),-2.9 (34)
Naz Reid,-2.4 (29),0.6 (51),-3.0 (33)
Bruno Fernando,-2.6 (25),0.4 (55),-3.0 (33)
Paul Reed,-1.7 (43),1.4 (30),-3.1 (33)
Isaiah Jackson,-1.4 (48),1.7 (19),-3.1 (33)
D.J. Wilson,-2.3 (30),0.8 (46),-3.1 (33)
Nickeil Alexander-Walker,-1.6 (45),1.5 (28),-3.1 (33)
Santi Aldama,-2.5 (26),0.6 (50),-3.1 (32)
Chimezie Metu,-2.2 (32),0.9 (44),-3.1 (32)
Damyean Dotson,-2.5 (25),0.6 (50),-3.1 (32)
Freddie Gillespie,-2.2 (32),0.9 (43),-3.1 (32)
Justin Jackson,-1.5 (46),1.6 (22),-3.1 (32)
Keifer Sykes,-2.0 (35),1.1 (36),-3.1 (32)
Anthony Lamb,-2.0 (35),1.1 (36),-3.1 (31)
Lindy Waters III,-1.8 (39),1.3 (31),-3.1 (31)
Brodric Thomas,-2.3 (30),0.9 (44),-3.2 (31)
Bismack Biyombo,-2.9 (18),0.3 (58),-3.2 (31)
Kris Dunn,-2.9 (18),0.3 (58),-3.2 (31)
Gorgui Dieng,-2.2 (33),1.0 (40),-3.2 (31)
Brad Wanamaker,-3.1 (16),0.1 (64),-3.2 (30)
CJ Elleby,-2.0 (36),1.2 (34),-3.2 (30)
