Player,Offense,Defense(*),Total
Joffrey Lauvergne,-2.1 (25),2.0 (7),-4.1 (14)
Chasson Randle,-2.5 (19),1.6 (16),-4.1 (14)
Gary Neal,-2.0 (27),2.1 (5),-4.1 (14)
Shawn Long,-2.3 (21),1.8 (11),-4.1 (14)
Sheldon Mac,-3.2 (9),0.9 (35),-4.1 (13)
Jarnell Stokes,-2.8 (14),1.4 (23),-4.2 (13)
Marshall Plumlee,-2.8 (14),1.4 (23),-4.2 (13)
Marquese Chriss,-1.8 (33),2.4 (3),-4.2 (13)
Malachi Richardson,-3.2 (9),1.0 (33),-4.2 (13)
Jake Layman,-3.3 (7),0.9 (34),-4.2 (12)
James Young,-2.5 (20),1.7 (13),-4.2 (12)
Larry Sanders,-3.7 (1),0.5 (48),-4.2 (12)
Mario Hezonja,-3.1 (11),1.2 (28),-4.3 (12)
Joel Anthony,-3.6 (3),0.7 (42),-4.3 (12)
