Player,Team,RAPM_offense,RAPM_defense,USG_percent,PLUS_MINUS_value,Attendance,Performance
Stephon Castle,SAS,-0.5,-0.1,0.253,-239.0,98.78,21.45679012345679
Spencer Jones,DEN,-0.4,-0.0,0.128,-45.0,24.39,2.65
PJ Hall,CHA,-0.8,-0.4,0.176,-2.0,23.17,3.210526315789474
Trentyn Flowers,CHI,-0.4,-0.0,0.194,-6.0,7.32,2.3333333333333335
Zyon Pullin,MEM,-0.3,0.1,0.167,1.0,3.66,0.0
Isaiah Stevens,MIA,-0.5,-0.1,0.143,4.0,3.66,1.0
Chaz Lanier,DET,-0.2,0.2,,,,
Chris Mañon,LAL,-0.4,-0.0,,,,
Vladislav Goldin,MIA,-0.3,0.1,,,,
LJ Cryer,GSW,-0.4,-0.0,,,,
Jevon Carter,CHI,-0.4,0.1,0.2,37.0,43.9,6.583333333333333
Derrick Jones Jr.,LAC,-0.8,-0.3,0.16,249.0,93.9,14.935064935064934
Jalen Green,PHX,0.3,0.8,0.267,166.0,100.0,27.76829268292683
Collin Sexton,CHA,0.7,1.2,0.264,-286.0,76.83,23.603174603174605
Clint Capela,HOU,-1.5,-1.0,0.16,-79.0,67.07,19.254545454545454
Trey Lyles,SAC,-0.5,0.0,0.139,-70.0,84.15,12.666666666666666
Seth Lundy,ATL,-0.3,0.2,,,,
Jalen Bridges,PHX,-0.5,0.0,0.197,7.0,9.76,1.125
Yuri Collins,GSW,-0.4,0.1,0.068,-5.0,2.44,5.5
Jaren Jackson Jr.,MEM,-1.7,-1.1,0.274,331.0,90.24,30.513513513513512
Cedric Coward,MEM,-1.7,-1.1,,,,
Nikola Vučević,CHI,0.1,0.7,0.221,-98.0,89.02,31.972602739726028
Trendon Watford,PHI,-0.6,-0.0,0.226,-65.0,53.66,15.477272727272727
Jock Landale,MEM,0.6,1.2,0.148,-25.0,51.22,8.952380952380953
Ron Harper Jr.,BOS,-0.5,0.1,0.205,-1.0,1.22,13.0
D.J. Carton,TOR,-0.5,0.1,0.122,12.0,4.88,2.0
Johnny Furphy,IND,-0.5,0.1,0.118,22.0,60.98,4.2
Tristen Newton,MIN,-0.5,0.1,0.185,-5.0,9.76,1.0
Anton Watson,NYK,-0.3,0.3,0.193,-9.0,10.98,1.3333333333333333
Kobe Sanders,LAC,-0.3,0.3,,,,
Kasparas Jakučionis,MIA,0.1,0.7,,,,
Peyton Watson,DEN,-0.4,0.2,0.138,-26.0,82.93,14.161764705882353
Devin Vassell,SAS,0.2,0.8,0.217,-262.0,78.05,23.5625
Dru Smith,MIA,-2.5,-1.9,0.131,38.0,17.07,11.142857142857142
Isaiah Jackson,IND,-0.4,0.2,0.164,10.0,6.1,14.8
Isaiah Livers,PHX,-0.2,0.4,,,,
Josh Christopher,MIA,-0.4,0.2,0.235,-5.0,17.07,3.357142857142857
Jesse Edwards,MIN,-0.4,0.2,0.0,-10.0,2.44,0.5
Adou Thiero,LAL,-0.2,0.4,,,,
Noah Penda,ORL,-0.4,0.2,,,,
Ethan Thompson,IND,-0.4,0.2,,,,
Delon Wright,NYK,-1.7,-1.0,0.111,1.0,48.78,7.325
Ben Simmons,LAC,-0.6,0.1,0.133,-56.0,62.2,14.529411764705882
John Konchar,MEM,-1.9,-1.2,0.077,58.0,56.1,7.239130434782608
Simone Fontecchio,MIA,-1.0,-0.3,0.152,16.0,91.46,9.533333333333333
KJ Martin,UTA,-0.3,0.4,0.112,-142.0,52.44,10.744186046511627
Chris Livingston,CLE,-1.0,-0.3,0.15,-29.0,25.61,3.2857142857142856
A.J. Lawson,TOR,-0.0,0.7,0.189,-17.0,31.71,13.73076923076923
Alondes Williams,DET,-0.6,0.1,0.286,6.0,1.22,6.0
PJ Dozier,MIN,-0.7,0.0,0.082,-4.0,10.98,1.8888888888888888
Nae'Qwan Tomlin,CLE,-0.9,-0.2,0.23,7.0,6.1,11.6
Jahmir Young,MIA,-0.2,0.5,0.092,-7.0,7.32,3.1666666666666665
Terence Davis,SAC,-0.6,0.1,0.111,-3.0,1.22,2.0
DaRon Holmes II,DEN,-0.3,0.4,,,,
Jamir Watkins,WAS,-1.2,-0.5,,,,
Javon Small,MEM,-0.3,0.4,,,,
Ochai Agbaji,TOR,-1.3,-0.6,0.144,-214.0,78.05,16.265625
Santi Aldama,MEM,0.4,1.1,0.179,149.0,79.27,21.923076923076923
Chris Youngblood,OKC,-0.8,-0.1,,,,
Will Richard,GSW,-1.3,-0.6,,,,
Moussa Cisse,DAL,-0.8,-0.1,,,,
DeMar DeRozan,SAC,0.6,1.4,0.244,110.0,93.9,30.376623376623378
Kris Murray,POR,-1.7,-0.9,0.133,-50.0,84.15,7.913043478260869
Scoot Henderson,POR,0.6,1.4,0.22,-38.0,80.49,19.303030303030305
Kevin Porter Jr.,MIL,-1.4,-0.6,0.248,27.0,91.46,16.84
Andrew Nembhard,IND,-0.9,-0.1,0.163,204.0,79.27,18.046153846153846
Cam Thomas,BKN,1.3,2.1,0.328,-92.0,30.49,29.24
JT Thor,WAS,-1.0,-0.2,0.132,-96.0,24.39,6.65
Eric Gordon,PHI,-0.5,0.3,0.14,-72.0,47.56,9.923076923076923
Jamaree Bouyea,PHX,-1.1,-0.3,0.163,2.0,6.1,6.0
Gary Harris,MIL,-0.9,-0.1,0.09,86.0,58.54,5.416666666666667
Daniel Theis,NOP,-0.4,0.4,0.111,-61.0,46.34,10.5
Braxton Key,GSW,-0.8,0.0,0.222,-8.0,3.66,2.0
Jordan Miller,LAC,-0.6,0.2,0.175,-63.0,45.12,6.486486486486487
Lester Quinones,NOP,-0.6,0.2,0.213,-26.0,15.85,9.23076923076923
Brandon Williams,DAL,-0.3,0.5,0.218,10.0,40.24,12.090909090909092
Trey Alexander,NOP,-0.9,-0.1,0.165,-25.0,29.27,2.2083333333333335
Skal Labissiere,SAC,-0.6,0.2,0.129,-1.0,4.88,2.25
Emanuel Miller,CHI,-0.5,0.3,0.143,-8.0,7.32,3.5
Koby Brea,PHX,-0.6,0.2,,,,
P.J. Washington,DAL,-1.4,-0.5,0.198,49.0,69.51,24.80701754385965
LeBron James,LAL,-0.2,0.7,0.291,-54.0,85.37,38.285714285714285
Sidy Cissoko,POR,-2.0,-1.1,0.156,8.0,26.83,2.727272727272727
Noah Clowney,BKN,-0.3,0.6,0.185,-261.0,56.1,13.91304347826087
Quincy Olivari,LAL,-0.6,0.3,0.231,-18.0,2.44,1.5
Hunter Dickinson,NOP,-0.7,0.2,,,,
Royce O'Neale,PHX,-0.9,-0.0,0.151,-155.0,91.46,16.36
Jaden Springer,UTA,-0.8,0.1,0.139,-32.0,52.44,4.930232558139535
Blake Wesley,POR,-0.5,0.4,0.165,-9.0,70.73,6.568965517241379
Adem Bona,PHI,-1.0,-0.1,0.135,-112.0,70.73,11.086206896551724
Kyle Filipowski,UTA,-0.1,0.8,0.184,-366.0,87.8,17.194444444444443
Kai Jones,DAL,-0.8,0.1,0.128,-21.0,48.78,9.2
Alex Ducas,OKC,-0.8,0.1,0.115,-22.0,25.61,3.238095238095238
Sharife Cooper,WAS,-0.8,0.1,,,,
Jahmyl Telfort,LAC,-1.0,-0.1,,,,
Zach Collins,CHI,-1.1,-0.2,0.166,-29.0,78.05,12.5625
Thanasis Antetokounmpo,MIL,-1.1,-0.2,,,,
Jacob Toppin,ATL,-1.1,-0.2,0.14,-25.0,20.73,2.5294117647058822
Justin Champagnie,WAS,0.7,1.6,0.15,-288.0,75.61,16.20967741935484
Darius Garland,CLE,0.7,1.7,0.265,499.0,91.46,29.026666666666667
Bobby Portis,MIL,-0.3,0.7,0.234,95.0,59.76,24.46938775510204
Dario Šarić,SAC,-1.0,0.0,0.157,-49.0,19.51,7.625
